"","CAMPUS","GRDTYPE","value","n.d.r","year","subject","demographics"
"1",57905001,"S",1379,"D","16","AR010","CA00"
"2",57905002,"S",1134,"D","16","AR010","CA00"
"3",57905003,"S",285,"D","16","AR010","CA00"
"4",57905005,"S",1545,"D","16","AR010","CA00"
"5",57905006,"S",741,"D","16","AR010","CA00"
"6",57905007,"S",1446,"D","16","AR010","CA00"
"7",57905008,"S",1208,"D","16","AR010","CA00"
"8",57905009,"S",428,"D","16","AR010","CA00"
"9",57905011,"M",0,"D","16","AR010","CA00"
"10",57905012,"S",769,"D","16","AR010","CA00"
"11",57905013,"S",525,"D","16","AR010","CA00"
"12",57905014,"S",1409,"D","16","AR010","CA00"
"13",57905015,"S",1071,"D","16","AR010","CA00"
"14",57905016,"S",1112,"D","16","AR010","CA00"
"15",57905017,"S",1392,"D","16","AR010","CA00"
"16",57905018,"S",1541,"D","16","AR010","CA00"
"17",57905021,"S",1604,"D","16","AR010","CA00"
"18",57905022,"S",1150,"D","16","AR010","CA00"
"19",57905023,"S",826,"D","16","AR010","CA00"
"20",57905024,"S",974,"D","16","AR010","CA00"
"21",57905025,"S",3188,"D","16","AR010","CA00"
"22",57905026,"S",216,"D","16","AR010","CA00"
"23",57905028,"S",916,"D","16","AR010","CA00"
"24",57905029,"S",0,"D","16","AR010","CA00"
"25",57905030,"S",NA,"D","16","AR010","CA00"
"26",57905032,"S",381,"D","16","AR010","CA00"
"27",57905033,"S",282,"D","16","AR010","CA00"
"28",57905034,"S",451,"D","16","AR010","CA00"
"29",57905035,"S",146,"D","16","AR010","CA00"
"30",57905036,"S",283,"D","16","AR010","CA00"
"31",57905037,"S",181,"D","16","AR010","CA00"
"32",57905038,"S",196,"D","16","AR010","CA00"
"33",57905039,"S",134,"D","16","AR010","CA00"
"34",57905042,"M",631,"D","16","AR010","CA00"
"35",57905043,"M",743,"D","16","AR010","CA00"
"36",57905044,"M",527,"D","16","AR010","CA00"
"37",57905045,"M",834,"D","16","AR010","CA00"
"38",57905046,"M",751,"D","16","AR010","CA00"
"39",57905047,"M",873,"D","16","AR010","CA00"
"40",57905048,"M",916,"D","16","AR010","CA00"
"41",57905049,"M",1459,"D","16","AR010","CA00"
"42",57905050,"M",941,"D","16","AR010","CA00"
"43",57905051,"M",623,"D","16","AR010","CA00"
"44",57905052,"M",954,"D","16","AR010","CA00"
"45",57905053,"M",1234,"D","16","AR010","CA00"
"46",57905054,"M",902,"D","16","AR010","CA00"
"47",57905055,"M",510,"D","16","AR010","CA00"
"48",57905056,"M",682,"D","16","AR010","CA00"
"49",57905057,"M",273,"D","16","AR010","CA00"
"50",57905058,"M",758,"D","16","AR010","CA00"
"51",57905059,"M",1212,"D","16","AR010","CA00"
"52",57905060,"M",547,"D","16","AR010","CA00"
"53",57905062,"M",723,"D","16","AR010","CA00"
"54",57905066,"M",197,"D","16","AR010","CA00"
"55",57905068,"M",1001,"D","16","AR010","CA00"
"56",57905069,"M",1091,"D","16","AR010","CA00"
"57",57905071,"M",398,"D","16","AR010","CA00"
"58",57905072,"M",354,"D","16","AR010","CA00"
"59",57905073,"M",421,"D","16","AR010","CA00"
"60",57905074,"M",439,"D","16","AR010","CA00"
"61",57905075,"M",180,"D","16","AR010","CA00"
"62",57905076,"M",892,"D","16","AR010","CA00"
"63",57905077,"M",785,"D","16","AR010","CA00"
"64",57905079,"M",819,"D","16","AR010","CA00"
"65",57905083,"M",691,"D","16","AR010","CA00"
"66",57905085,"S",193,"D","16","AR010","CA00"
"67",57905088,"S",220,"D","16","AR010","CA00"
"68",57905090,"S",126,"D","16","AR010","CA00"
"69",57905100,"M",1098,"D","16","AR010","CA00"
"70",57905101,"E",303,"D","16","AR010","CA00"
"71",57905102,"E",NA,"D","16","AR010","CA00"
"72",57905103,"E",194,"D","16","AR010","CA00"
"73",57905104,"E",332,"D","16","AR010","CA00"
"74",57905105,"E",300,"D","16","AR010","CA00"
"75",57905107,"E",NA,"D","16","AR010","CA00"
"76",57905108,"E",231,"D","16","AR010","CA00"
"77",57905109,"E",265,"D","16","AR010","CA00"
"78",57905110,"E",257,"D","16","AR010","CA00"
"79",57905112,"E",191,"D","16","AR010","CA00"
"80",57905114,"E",225,"D","16","AR010","CA00"
"81",57905115,"E",196,"D","16","AR010","CA00"
"82",57905116,"E",434,"D","16","AR010","CA00"
"83",57905117,"E",276,"D","16","AR010","CA00"
"84",57905118,"E",170,"D","16","AR010","CA00"
"85",57905119,"E",240,"D","16","AR010","CA00"
"86",57905120,"E",281,"D","16","AR010","CA00"
"87",57905121,"E",126,"D","16","AR010","CA00"
"88",57905122,"E",124,"D","16","AR010","CA00"
"89",57905124,"E",170,"D","16","AR010","CA00"
"90",57905125,"E",294,"D","16","AR010","CA00"
"91",57905126,"E",184,"D","16","AR010","CA00"
"92",57905128,"E",187,"D","16","AR010","CA00"
"93",57905129,"E",261,"D","16","AR010","CA00"
"94",57905130,"E",259,"D","16","AR010","CA00"
"95",57905131,"E",140,"D","16","AR010","CA00"
"96",57905133,"E",273,"D","16","AR010","CA00"
"97",57905134,"E",239,"D","16","AR010","CA00"
"98",57905135,"E",152,"D","16","AR010","CA00"
"99",57905136,"E",173,"D","16","AR010","CA00"
"100",57905137,"E",229,"D","16","AR010","CA00"
"101",57905139,"E",212,"D","16","AR010","CA00"
"102",57905140,"E",81,"D","16","AR010","CA00"
"103",57905141,"E",130,"D","16","AR010","CA00"
"104",57905142,"E",281,"D","16","AR010","CA00"
"105",57905144,"E",166,"D","16","AR010","CA00"
"106",57905145,"E",333,"D","16","AR010","CA00"
"107",57905147,"E",310,"D","16","AR010","CA00"
"108",57905148,"E",93,"D","16","AR010","CA00"
"109",57905149,"E",225,"D","16","AR010","CA00"
"110",57905152,"E",220,"D","16","AR010","CA00"
"111",57905153,"E",219,"D","16","AR010","CA00"
"112",57905154,"E",324,"D","16","AR010","CA00"
"113",57905155,"E",294,"D","16","AR010","CA00"
"114",57905156,"E",179,"D","16","AR010","CA00"
"115",57905157,"E",108,"D","16","AR010","CA00"
"116",57905158,"E",196,"D","16","AR010","CA00"
"117",57905159,"E",335,"D","16","AR010","CA00"
"118",57905160,"E",95,"D","16","AR010","CA00"
"119",57905161,"E",208,"D","16","AR010","CA00"
"120",57905162,"E",272,"D","16","AR010","CA00"
"121",57905163,"E",187,"D","16","AR010","CA00"
"122",57905164,"E",293,"D","16","AR010","CA00"
"123",57905166,"E",297,"D","16","AR010","CA00"
"124",57905167,"E",263,"D","16","AR010","CA00"
"125",57905168,"E",232,"D","16","AR010","CA00"
"126",57905169,"E",172,"D","16","AR010","CA00"
"127",57905170,"E",209,"D","16","AR010","CA00"
"128",57905171,"E",353,"D","16","AR010","CA00"
"129",57905172,"E",319,"D","16","AR010","CA00"
"130",57905173,"E",301,"D","16","AR010","CA00"
"131",57905174,"E",152,"D","16","AR010","CA00"
"132",57905175,"E",231,"D","16","AR010","CA00"
"133",57905176,"E",209,"D","16","AR010","CA00"
"134",57905177,"E",208,"D","16","AR010","CA00"
"135",57905178,"E",118,"D","16","AR010","CA00"
"136",57905180,"E",233,"D","16","AR010","CA00"
"137",57905181,"E",239,"D","16","AR010","CA00"
"138",57905182,"E",393,"D","16","AR010","CA00"
"139",57905183,"E",209,"D","16","AR010","CA00"
"140",57905184,"E",113,"D","16","AR010","CA00"
"141",57905185,"E",153,"D","16","AR010","CA00"
"142",57905186,"E",158,"D","16","AR010","CA00"
"143",57905187,"E",349,"D","16","AR010","CA00"
"144",57905188,"E",316,"D","16","AR010","CA00"
"145",57905189,"E",132,"D","16","AR010","CA00"
"146",57905190,"E",223,"D","16","AR010","CA00"
"147",57905191,"E",224,"D","16","AR010","CA00"
"148",57905192,"E",149,"D","16","AR010","CA00"
"149",57905193,"E",219,"D","16","AR010","CA00"
"150",57905194,"E",230,"D","16","AR010","CA00"
"151",57905195,"E",186,"D","16","AR010","CA00"
"152",57905196,"E",137,"D","16","AR010","CA00"
"153",57905197,"E",171,"D","16","AR010","CA00"
"154",57905198,"E",224,"D","16","AR010","CA00"
"155",57905199,"E",293,"D","16","AR010","CA00"
"156",57905200,"E",293,"D","16","AR010","CA00"
"157",57905201,"E",202,"D","16","AR010","CA00"
"158",57905202,"E",284,"D","16","AR010","CA00"
"159",57905203,"E",164,"D","16","AR010","CA00"
"160",57905204,"E",482,"D","16","AR010","CA00"
"161",57905205,"E",330,"D","16","AR010","CA00"
"162",57905206,"E",186,"D","16","AR010","CA00"
"163",57905207,"E",181,"D","16","AR010","CA00"
"164",57905208,"E",275,"D","16","AR010","CA00"
"165",57905209,"E",333,"D","16","AR010","CA00"
"166",57905210,"E",330,"D","16","AR010","CA00"
"167",57905211,"E",278,"D","16","AR010","CA00"
"168",57905212,"E",143,"D","16","AR010","CA00"
"169",57905213,"E",172,"D","16","AR010","CA00"
"170",57905215,"E",178,"D","16","AR010","CA00"
"171",57905216,"E",294,"D","16","AR010","CA00"
"172",57905217,"E",130,"D","16","AR010","CA00"
"173",57905218,"E",420,"D","16","AR010","CA00"
"174",57905219,"E",160,"D","16","AR010","CA00"
"175",57905220,"E",147,"D","16","AR010","CA00"
"176",57905222,"E",271,"D","16","AR010","CA00"
"177",57905224,"E",125,"D","16","AR010","CA00"
"178",57905225,"E",289,"D","16","AR010","CA00"
"179",57905226,"E",221,"D","16","AR010","CA00"
"180",57905228,"E",109,"D","16","AR010","CA00"
"181",57905229,"E",342,"D","16","AR010","CA00"
"182",57905230,"E",184,"D","16","AR010","CA00"
"183",57905232,"E",230,"D","16","AR010","CA00"
"184",57905233,"E",203,"D","16","AR010","CA00"
"185",57905234,"E",342,"D","16","AR010","CA00"
"186",57905235,"E",152,"D","16","AR010","CA00"
"187",57905236,"E",193,"D","16","AR010","CA00"
"188",57905237,"E",277,"D","16","AR010","CA00"
"189",57905239,"E",288,"D","16","AR010","CA00"
"190",57905240,"E",263,"D","16","AR010","CA00"
"191",57905241,"E",NA,"D","16","AR010","CA00"
"192",57905244,"E",297,"D","16","AR010","CA00"
"193",57905247,"E",289,"D","16","AR010","CA00"
"194",57905250,"E",229,"D","16","AR010","CA00"
"195",57905260,"E",152,"D","16","AR010","CA00"
"196",57905263,"E",150,"D","16","AR010","CA00"
"197",57905264,"E",294,"D","16","AR010","CA00"
"198",57905265,"E",197,"D","16","AR010","CA00"
"199",57905266,"E",193,"D","16","AR010","CA00"
"200",57905268,"E",175,"D","16","AR010","CA00"
"201",57905269,"E",129,"D","16","AR010","CA00"
"202",57905270,"E",83,"D","16","AR010","CA00"
"203",57905271,"E",344,"D","16","AR010","CA00"
"204",57905272,"E",179,"D","16","AR010","CA00"
"205",57905273,"E",227,"D","16","AR010","CA00"
"206",57905274,"E",353,"D","16","AR010","CA00"
"207",57905275,"E",243,"D","16","AR010","CA00"
"208",57905276,"E",308,"D","16","AR010","CA00"
"209",57905277,"E",174,"D","16","AR010","CA00"
"210",57905278,"E",242,"D","16","AR010","CA00"
"211",57905279,"E",241,"D","16","AR010","CA00"
"212",57905280,"E",433,"D","16","AR010","CA00"
"213",57905281,"E",217,"D","16","AR010","CA00"
"214",57905283,"E",202,"D","16","AR010","CA00"
"215",57905284,"E",299,"D","16","AR010","CA00"
"216",57905285,"E",NA,"D","16","AR010","CA00"
"217",57905286,"E",167,"D","16","AR010","CA00"
"218",57905287,"E",280,"D","16","AR010","CA00"
"219",57905289,"E",245,"D","16","AR010","CA00"
"220",57905301,"E",436,"D","16","AR010","CA00"
"221",57905302,"E",NA,"D","16","AR010","CA00"
"222",57905303,"E",298,"D","16","AR010","CA00"
"223",57905304,"E",255,"D","16","AR010","CA00"
"224",57905305,"E",283,"D","16","AR010","CA00"
"225",57905306,"E",NA,"D","16","AR010","CA00"
"226",57905352,"M",1295,"D","16","AR010","CA00"
"227",57905353,"M",1147,"D","16","AR010","CA00"
"228",57905354,"M",686,"D","16","AR010","CA00"
"229",57905355,"M",57,"D","16","AR010","CA00"
"230",57905356,"M",276,"D","16","AR010","CA00"
"231",57905357,"M",238,"D","16","AR010","CA00"
"232",57905358,"M",166,"D","16","AR010","CA00"
"233",57905359,"M",193,"D","16","AR010","CA00"
"234",57905360,"M",175,"D","16","AR010","CA00"
"235",57905380,"S",624,"D","16","AR010","CA00"
"236",57905381,"S",110,"D","16","AR010","CA00"
"237",57905382,"S",104,"D","16","AR010","CA00"
"238",57905389,"S",106,"D","16","AR010","CA00"
"239",57905001,"S",834,"N","16","AR01S","CA00"
"240",57905002,"S",595,"N","16","AR01S","CA00"
"241",57905003,"S",216,"N","16","AR01S","CA00"
"242",57905005,"S",982,"N","16","AR01S","CA00"
"243",57905006,"S",418,"N","16","AR01S","CA00"
"244",57905007,"S",689,"N","16","AR01S","CA00"
"245",57905008,"S",591,"N","16","AR01S","CA00"
"246",57905009,"S",219,"N","16","AR01S","CA00"
"247",57905011,"M",0,"N","16","AR01S","CA00"
"248",57905012,"S",362,"N","16","AR01S","CA00"
"249",57905013,"S",200,"N","16","AR01S","CA00"
"250",57905014,"S",699,"N","16","AR01S","CA00"
"251",57905015,"S",551,"N","16","AR01S","CA00"
"252",57905016,"S",502,"N","16","AR01S","CA00"
"253",57905017,"S",622,"N","16","AR01S","CA00"
"254",57905018,"S",888,"N","16","AR01S","CA00"
"255",57905021,"S",933,"N","16","AR01S","CA00"
"256",57905022,"S",820,"N","16","AR01S","CA00"
"257",57905023,"S",396,"N","16","AR01S","CA00"
"258",57905024,"S",416,"N","16","AR01S","CA00"
"259",57905025,"S",1784,"N","16","AR01S","CA00"
"260",57905026,"S",216,"N","16","AR01S","CA00"
"261",57905028,"S",384,"N","16","AR01S","CA00"
"262",57905029,"S",0,"N","16","AR01S","CA00"
"263",57905030,"S",NA,"N","16","AR01S","CA00"
"264",57905032,"S",147,"N","16","AR01S","CA00"
"265",57905033,"S",277,"N","16","AR01S","CA00"
"266",57905034,"S",437,"N","16","AR01S","CA00"
"267",57905035,"S",146,"N","16","AR01S","CA00"
"268",57905036,"S",283,"N","16","AR01S","CA00"
"269",57905037,"S",174,"N","16","AR01S","CA00"
"270",57905038,"S",195,"N","16","AR01S","CA00"
"271",57905039,"S",134,"N","16","AR01S","CA00"
"272",57905042,"M",381,"N","16","AR01S","CA00"
"273",57905043,"M",386,"N","16","AR01S","CA00"
"274",57905044,"M",282,"N","16","AR01S","CA00"
"275",57905045,"M",520,"N","16","AR01S","CA00"
"276",57905046,"M",410,"N","16","AR01S","CA00"
"277",57905047,"M",576,"N","16","AR01S","CA00"
"278",57905048,"M",621,"N","16","AR01S","CA00"
"279",57905049,"M",1165,"N","16","AR01S","CA00"
"280",57905050,"M",578,"N","16","AR01S","CA00"
"281",57905051,"M",313,"N","16","AR01S","CA00"
"282",57905052,"M",521,"N","16","AR01S","CA00"
"283",57905053,"M",847,"N","16","AR01S","CA00"
"284",57905054,"M",499,"N","16","AR01S","CA00"
"285",57905055,"M",253,"N","16","AR01S","CA00"
"286",57905056,"M",530,"N","16","AR01S","CA00"
"287",57905057,"M",272,"N","16","AR01S","CA00"
"288",57905058,"M",529,"N","16","AR01S","CA00"
"289",57905059,"M",722,"N","16","AR01S","CA00"
"290",57905060,"M",286,"N","16","AR01S","CA00"
"291",57905062,"M",385,"N","16","AR01S","CA00"
"292",57905066,"M",194,"N","16","AR01S","CA00"
"293",57905068,"M",618,"N","16","AR01S","CA00"
"294",57905069,"M",655,"N","16","AR01S","CA00"
"295",57905071,"M",395,"N","16","AR01S","CA00"
"296",57905072,"M",179,"N","16","AR01S","CA00"
"297",57905073,"M",414,"N","16","AR01S","CA00"
"298",57905074,"M",189,"N","16","AR01S","CA00"
"299",57905075,"M",179,"N","16","AR01S","CA00"
"300",57905076,"M",449,"N","16","AR01S","CA00"
"301",57905077,"M",495,"N","16","AR01S","CA00"
"302",57905079,"M",466,"N","16","AR01S","CA00"
"303",57905083,"M",364,"N","16","AR01S","CA00"
"304",57905085,"S",177,"N","16","AR01S","CA00"
"305",57905088,"S",218,"N","16","AR01S","CA00"
"306",57905090,"S",124,"N","16","AR01S","CA00"
"307",57905100,"M",697,"N","16","AR01S","CA00"
"308",57905101,"E",206,"N","16","AR01S","CA00"
"309",57905102,"E",NA,"N","16","AR01S","CA00"
"310",57905103,"E",108,"N","16","AR01S","CA00"
"311",57905104,"E",218,"N","16","AR01S","CA00"
"312",57905105,"E",219,"N","16","AR01S","CA00"
"313",57905107,"E",NA,"N","16","AR01S","CA00"
"314",57905108,"E",130,"N","16","AR01S","CA00"
"315",57905109,"E",167,"N","16","AR01S","CA00"
"316",57905110,"E",169,"N","16","AR01S","CA00"
"317",57905112,"E",146,"N","16","AR01S","CA00"
"318",57905114,"E",117,"N","16","AR01S","CA00"
"319",57905115,"E",130,"N","16","AR01S","CA00"
"320",57905116,"E",320,"N","16","AR01S","CA00"
"321",57905117,"E",165,"N","16","AR01S","CA00"
"322",57905118,"E",125,"N","16","AR01S","CA00"
"323",57905119,"E",138,"N","16","AR01S","CA00"
"324",57905120,"E",209,"N","16","AR01S","CA00"
"325",57905121,"E",68,"N","16","AR01S","CA00"
"326",57905122,"E",57,"N","16","AR01S","CA00"
"327",57905124,"E",59,"N","16","AR01S","CA00"
"328",57905125,"E",228,"N","16","AR01S","CA00"
"329",57905126,"E",137,"N","16","AR01S","CA00"
"330",57905128,"E",84,"N","16","AR01S","CA00"
"331",57905129,"E",160,"N","16","AR01S","CA00"
"332",57905130,"E",171,"N","16","AR01S","CA00"
"333",57905131,"E",92,"N","16","AR01S","CA00"
"334",57905133,"E",156,"N","16","AR01S","CA00"
"335",57905134,"E",234,"N","16","AR01S","CA00"
"336",57905135,"E",126,"N","16","AR01S","CA00"
"337",57905136,"E",124,"N","16","AR01S","CA00"
"338",57905137,"E",196,"N","16","AR01S","CA00"
"339",57905139,"E",101,"N","16","AR01S","CA00"
"340",57905140,"E",49,"N","16","AR01S","CA00"
"341",57905141,"E",88,"N","16","AR01S","CA00"
"342",57905142,"E",140,"N","16","AR01S","CA00"
"343",57905144,"E",92,"N","16","AR01S","CA00"
"344",57905145,"E",243,"N","16","AR01S","CA00"
"345",57905147,"E",232,"N","16","AR01S","CA00"
"346",57905148,"E",66,"N","16","AR01S","CA00"
"347",57905149,"E",178,"N","16","AR01S","CA00"
"348",57905152,"E",167,"N","16","AR01S","CA00"
"349",57905153,"E",180,"N","16","AR01S","CA00"
"350",57905154,"E",225,"N","16","AR01S","CA00"
"351",57905155,"E",180,"N","16","AR01S","CA00"
"352",57905156,"E",130,"N","16","AR01S","CA00"
"353",57905157,"E",73,"N","16","AR01S","CA00"
"354",57905158,"E",133,"N","16","AR01S","CA00"
"355",57905159,"E",191,"N","16","AR01S","CA00"
"356",57905160,"E",76,"N","16","AR01S","CA00"
"357",57905161,"E",130,"N","16","AR01S","CA00"
"358",57905162,"E",245,"N","16","AR01S","CA00"
"359",57905163,"E",104,"N","16","AR01S","CA00"
"360",57905164,"E",184,"N","16","AR01S","CA00"
"361",57905166,"E",212,"N","16","AR01S","CA00"
"362",57905167,"E",173,"N","16","AR01S","CA00"
"363",57905168,"E",181,"N","16","AR01S","CA00"
"364",57905169,"E",138,"N","16","AR01S","CA00"
"365",57905170,"E",156,"N","16","AR01S","CA00"
"366",57905171,"E",339,"N","16","AR01S","CA00"
"367",57905172,"E",253,"N","16","AR01S","CA00"
"368",57905173,"E",243,"N","16","AR01S","CA00"
"369",57905174,"E",109,"N","16","AR01S","CA00"
"370",57905175,"E",137,"N","16","AR01S","CA00"
"371",57905176,"E",141,"N","16","AR01S","CA00"
"372",57905177,"E",134,"N","16","AR01S","CA00"
"373",57905178,"E",94,"N","16","AR01S","CA00"
"374",57905180,"E",160,"N","16","AR01S","CA00"
"375",57905181,"E",153,"N","16","AR01S","CA00"
"376",57905182,"E",227,"N","16","AR01S","CA00"
"377",57905183,"E",149,"N","16","AR01S","CA00"
"378",57905184,"E",93,"N","16","AR01S","CA00"
"379",57905185,"E",125,"N","16","AR01S","CA00"
"380",57905186,"E",95,"N","16","AR01S","CA00"
"381",57905187,"E",242,"N","16","AR01S","CA00"
"382",57905188,"E",181,"N","16","AR01S","CA00"
"383",57905189,"E",78,"N","16","AR01S","CA00"
"384",57905190,"E",163,"N","16","AR01S","CA00"
"385",57905191,"E",115,"N","16","AR01S","CA00"
"386",57905192,"E",93,"N","16","AR01S","CA00"
"387",57905193,"E",161,"N","16","AR01S","CA00"
"388",57905194,"E",165,"N","16","AR01S","CA00"
"389",57905195,"E",132,"N","16","AR01S","CA00"
"390",57905196,"E",61,"N","16","AR01S","CA00"
"391",57905197,"E",119,"N","16","AR01S","CA00"
"392",57905198,"E",176,"N","16","AR01S","CA00"
"393",57905199,"E",222,"N","16","AR01S","CA00"
"394",57905200,"E",146,"N","16","AR01S","CA00"
"395",57905201,"E",159,"N","16","AR01S","CA00"
"396",57905202,"E",167,"N","16","AR01S","CA00"
"397",57905203,"E",134,"N","16","AR01S","CA00"
"398",57905204,"E",349,"N","16","AR01S","CA00"
"399",57905205,"E",208,"N","16","AR01S","CA00"
"400",57905206,"E",150,"N","16","AR01S","CA00"
"401",57905207,"E",119,"N","16","AR01S","CA00"
"402",57905208,"E",185,"N","16","AR01S","CA00"
"403",57905209,"E",248,"N","16","AR01S","CA00"
"404",57905210,"E",253,"N","16","AR01S","CA00"
"405",57905211,"E",161,"N","16","AR01S","CA00"
"406",57905212,"E",124,"N","16","AR01S","CA00"
"407",57905213,"E",125,"N","16","AR01S","CA00"
"408",57905215,"E",121,"N","16","AR01S","CA00"
"409",57905216,"E",117,"N","16","AR01S","CA00"
"410",57905217,"E",130,"N","16","AR01S","CA00"
"411",57905218,"E",191,"N","16","AR01S","CA00"
"412",57905219,"E",101,"N","16","AR01S","CA00"
"413",57905220,"E",74,"N","16","AR01S","CA00"
"414",57905222,"E",206,"N","16","AR01S","CA00"
"415",57905224,"E",105,"N","16","AR01S","CA00"
"416",57905225,"E",124,"N","16","AR01S","CA00"
"417",57905226,"E",154,"N","16","AR01S","CA00"
"418",57905228,"E",82,"N","16","AR01S","CA00"
"419",57905229,"E",258,"N","16","AR01S","CA00"
"420",57905230,"E",151,"N","16","AR01S","CA00"
"421",57905232,"E",176,"N","16","AR01S","CA00"
"422",57905233,"E",157,"N","16","AR01S","CA00"
"423",57905234,"E",253,"N","16","AR01S","CA00"
"424",57905235,"E",93,"N","16","AR01S","CA00"
"425",57905236,"E",122,"N","16","AR01S","CA00"
"426",57905237,"E",183,"N","16","AR01S","CA00"
"427",57905239,"E",226,"N","16","AR01S","CA00"
"428",57905240,"E",175,"N","16","AR01S","CA00"
"429",57905241,"E",NA,"N","16","AR01S","CA00"
"430",57905244,"E",199,"N","16","AR01S","CA00"
"431",57905247,"E",194,"N","16","AR01S","CA00"
"432",57905250,"E",135,"N","16","AR01S","CA00"
"433",57905260,"E",100,"N","16","AR01S","CA00"
"434",57905263,"E",115,"N","16","AR01S","CA00"
"435",57905264,"E",151,"N","16","AR01S","CA00"
"436",57905265,"E",153,"N","16","AR01S","CA00"
"437",57905266,"E",104,"N","16","AR01S","CA00"
"438",57905268,"E",113,"N","16","AR01S","CA00"
"439",57905269,"E",60,"N","16","AR01S","CA00"
"440",57905270,"E",66,"N","16","AR01S","CA00"
"441",57905271,"E",219,"N","16","AR01S","CA00"
"442",57905272,"E",106,"N","16","AR01S","CA00"
"443",57905273,"E",164,"N","16","AR01S","CA00"
"444",57905274,"E",254,"N","16","AR01S","CA00"
"445",57905275,"E",174,"N","16","AR01S","CA00"
"446",57905276,"E",212,"N","16","AR01S","CA00"
"447",57905277,"E",132,"N","16","AR01S","CA00"
"448",57905278,"E",143,"N","16","AR01S","CA00"
"449",57905279,"E",191,"N","16","AR01S","CA00"
"450",57905280,"E",333,"N","16","AR01S","CA00"
"451",57905281,"E",138,"N","16","AR01S","CA00"
"452",57905283,"E",144,"N","16","AR01S","CA00"
"453",57905284,"E",184,"N","16","AR01S","CA00"
"454",57905285,"E",NA,"N","16","AR01S","CA00"
"455",57905286,"E",114,"N","16","AR01S","CA00"
"456",57905287,"E",184,"N","16","AR01S","CA00"
"457",57905289,"E",171,"N","16","AR01S","CA00"
"458",57905301,"E",223,"N","16","AR01S","CA00"
"459",57905302,"E",NA,"N","16","AR01S","CA00"
"460",57905303,"E",186,"N","16","AR01S","CA00"
"461",57905304,"E",189,"N","16","AR01S","CA00"
"462",57905305,"E",178,"N","16","AR01S","CA00"
"463",57905306,"E",NA,"N","16","AR01S","CA00"
"464",57905352,"M",804,"N","16","AR01S","CA00"
"465",57905353,"M",746,"N","16","AR01S","CA00"
"466",57905354,"M",384,"N","16","AR01S","CA00"
"467",57905355,"M",34,"N","16","AR01S","CA00"
"468",57905356,"M",276,"N","16","AR01S","CA00"
"469",57905357,"M",235,"N","16","AR01S","CA00"
"470",57905358,"M",53,"N","16","AR01S","CA00"
"471",57905359,"M",158,"N","16","AR01S","CA00"
"472",57905360,"M",128,"N","16","AR01S","CA00"
"473",57905380,"S",320,"N","16","AR01S","CA00"
"474",57905381,"S",107,"N","16","AR01S","CA00"
"475",57905382,"S",71,"N","16","AR01S","CA00"
"476",57905389,"S",42,"N","16","AR01S","CA00"
"477",57905001,"S",192,"D","16","AR010","CB00"
"478",57905002,"S",29,"D","16","AR010","CB00"
"479",57905003,"S",82,"D","16","AR010","CB00"
"480",57905005,"S",47,"D","16","AR010","CB00"
"481",57905006,"S",120,"D","16","AR010","CB00"
"482",57905007,"S",58,"D","16","AR010","CB00"
"483",57905008,"S",353,"D","16","AR010","CB00"
"484",57905009,"S",325,"D","16","AR010","CB00"
"485",57905011,"M",NA,"D","16","AR010","CB00"
"486",57905012,"S",183,"D","16","AR010","CB00"
"487",57905013,"S",238,"D","16","AR010","CB00"
"488",57905014,"S",304,"D","16","AR010","CB00"
"489",57905015,"S",222,"D","16","AR010","CB00"
"490",57905016,"S",788,"D","16","AR010","CB00"
"491",57905017,"S",262,"D","16","AR010","CB00"
"492",57905018,"S",23,"D","16","AR010","CB00"
"493",57905021,"S",167,"D","16","AR010","CB00"
"494",57905022,"S",94,"D","16","AR010","CB00"
"495",57905023,"S",604,"D","16","AR010","CB00"
"496",57905024,"S",176,"D","16","AR010","CB00"
"497",57905025,"S",797,"D","16","AR010","CB00"
"498",57905026,"S",20,"D","16","AR010","CB00"
"499",57905028,"S",160,"D","16","AR010","CB00"
"500",57905029,"S",NA,"D","16","AR010","CB00"
"501",57905030,"S",NA,"D","16","AR010","CB00"
"502",57905032,"S",256,"D","16","AR010","CB00"
"503",57905033,"S",56,"D","16","AR010","CB00"
"504",57905034,"S",98,"D","16","AR010","CB00"
"505",57905035,"S",15,"D","16","AR010","CB00"
"506",57905036,"S",57,"D","16","AR010","CB00"
"507",57905037,"S",56,"D","16","AR010","CB00"
"508",57905038,"S",40,"D","16","AR010","CB00"
"509",57905039,"S",7,"D","16","AR010","CB00"
"510",57905042,"M",371,"D","16","AR010","CB00"
"511",57905043,"M",441,"D","16","AR010","CB00"
"512",57905044,"M",36,"D","16","AR010","CB00"
"513",57905045,"M",222,"D","16","AR010","CB00"
"514",57905046,"M",213,"D","16","AR010","CB00"
"515",57905047,"M",103,"D","16","AR010","CB00"
"516",57905048,"M",130,"D","16","AR010","CB00"
"517",57905049,"M",135,"D","16","AR010","CB00"
"518",57905050,"M",121,"D","16","AR010","CB00"
"519",57905051,"M",359,"D","16","AR010","CB00"
"520",57905052,"M",143,"D","16","AR010","CB00"
"521",57905053,"M",71,"D","16","AR010","CB00"
"522",57905054,"M",40,"D","16","AR010","CB00"
"523",57905055,"M",87,"D","16","AR010","CB00"
"524",57905056,"M",125,"D","16","AR010","CB00"
"525",57905057,"M",22,"D","16","AR010","CB00"
"526",57905058,"M",139,"D","16","AR010","CB00"
